Location,Date,Year,Month,Day,Hour,AQI,PM2.5,PM10,O3,CO,SO2,NO2,Temperature,Humidity,AQI_Class
Kathmandu,2024-01-01,2024,1,1,0,193,92.15,155.97,47.07,1.1,8.04,39.53,13.7,38.8,Unhealthy
Kathmandu,2024-01-01,2024,1,1,1,227,108.56,165.1,21.06,0.48,27.75,48.15,14.7,40.3,Very_Unhealthy
Kathmandu,2024-01-01,2024,1,1,2,201,95.83,198.04,47.93,0.61,10.44,77.0,17.7,42.2,Very_Unhealthy
Kathmandu,2024-01-01,2024,1,1,3,198,94.46,163.94,53.9,0.84,33.25,61.08,17.1,36.7,Unhealthy
Kathmandu,2024-01-01,2024,1,1,4,147,70.44,124.32,44.74,1.08,25.21,59.32,16.8,30.6,Unhealthy_Sensitive
Kathmandu,2024-01-01,2024,1,1,5,202,96.5,147.84,23.19,0.51,8.54,29.46,20.2,44.1,Very_Unhealthy
Kathmandu,2024-01-01,2024,1,1,6,239,113.84,200.26,57.47,0.88,26.32,21.98,20.6,45.8,Very_Unhealthy
Kathmandu,2024-01-01,2024,1,1,7,334,159.24,320.12,59.58,0.88,24.49,57.92,25.1,53.2,Hazardous
Kathmandu,2024-01-01,2024,1,1,8,371,176.89,293.7,30.71,0.49,38.0,71.35,23.1,58.4,Hazardous
Kathmandu,2024-01-01,2024,1,1,9,316,150.53,258.95,56.58,0.71,14.27,27.26,26.5,56.9,Hazardous
Kathmandu,2024-01-01,2024,1,1,10,236,112.67,215.11,28.77,1.2,22.83,16.36,28.3,68.2,Very_Unhealthy
Kathmandu,2024-01-01,2024,1,1,11,202,96.5,147.93,51.68,0.68,7.22,36.71,31.9,72.7,Very_Unhealthy
Kathmandu,2024-01-01,2024,1,1,12,225,107.19,233.64,48.83,0.91,23.79,28.68,29.9,72.7,Very_Unhealthy
Kathmandu,2024-01-01,2024,1,1,13,195,92.87,180.98,38.15,1.16,35.65,28.44,31.4,77.1,Unhealthy
Kathmandu,2024-01-01,2024,1,1,14,186,88.63,189.56,45.56,0.85,10.35,63.38,28.9,77.3,Unhealthy
Kathmandu,2024-01-01,2024,1,1,15,192,91.64,172.05,20.02,0.59,5.68,75.04,28.1,69.5,Unhealthy
Kathmandu,2024-01-01,2024,1,1,16,253,120.65,206.95,57.88,0.38,22.01,14.84,23.4,80.0,Very_Unhealthy
Kathmandu,2024-01-01,2024,1,1,17,279,132.9,270.11,39.01,0.79,14.28,71.07,24.2,67.1,Very_Unhealthy
Kathmandu,2024-01-01,2024,1,1,18,296,141.03,264.79,32.47,1.2,27.75,40.67,22.6,64.7,Very_Unhealthy
Kathmandu,2024-01-01,2024,1,1,19,345,164.31,306.0,33.52,0.83,13.05,25.42,21.0,62.1,Hazardous
Kathmandu,2024-01-01,2024,1,1,20,442,210.83,350.02,22.83,0.51,28.41,25.0,19.2,61.6,Hazardous
